Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
488	244	578.79431	455.59641	998.0921	1028.66	1041.385	705.65857	877.50562	947.3045	1073.1323
489	244	578.38068	455.59116	997.8255	1028.5302	1041.2877	705.10632	876.84186	947.3045	1072.9573
490	244	578.08496	455.22244	997.4939	1028.35	1041.1863	704.8064	876.17108	947.3045	1072.7993
491	244	577.68658	454.71442	997.12982	1028.15	1041.0804	704.58264	875.49323	947.3045	1072.6499
492	244	577.35956	454.29459	996.83722	1027.9102	1040.9747	704.21606	874.82245	947.3045	1072.5092
493	244	576.95807	454.08115	996.63562	1027.6101	1040.8649	703.63519	874.15167	947.3045	1072.3683
494	244	576.57568	453.02631	996.42761	1027.2902	1040.7463	702.93542	873.47388	947.3045	1072.2231
495	244	576.13098	453.28561	996.16748	1026.95	1040.3318	702.17365	872.8031	947.3045	1072.0568
496	244	575.90765	452.92398	995.87488	1026.62	1040.184	701.42621	872.13232	947.3045	1071.8817
497	244	575.61755	452.44772	995.64081	1026.3199	1040.0146	700.79779	871.45453	947.3045	1071.6897
498	244	575.4563	452.60822	995.40674	1026.03	1039.8329	700.50262	870.77679	947.3045	1071.5148
499	244	575.22955	452.5994	995.0426	1025.8102	1039.634	700.37885	870.10596	947.3045	1071.3824
500	244	575.12012	452.80051	994.52893	1025.6	1039.4436	700.21692	869.43518	947.3045	1071.28
501	244	573.01208	452.59412	993.96979	1025.42	1039.2618	699.9361	871.00732	947.3045	1071.1947
502	244	571.68909	452.70703	993.44965	1025.2601	1039.0841	699.59332	870.68591	947.3045	1071.0836
503	244	572.08972	452.98044	992.95544	1025.09	1038.5851	699.21722	870.10596	947.3045	1070.9727
504	244	574.39484	453.05276	992.44177	1024.9202	1038.4075	698.8363	869.33734	947.3045	1070.802
505	244	575.81219	453.26443	991.94116	1024.6802	1038.2212	698.1936	868.44293	947.3045	1070.6056
506	244	575.51373	453.28561	991.52502	1024.4001	1038.0013	697.09393	867.45776	947.3045	1070.405
507	244	575.19281	452.84106	991.21942	1024.1101	1037.7603	696.62256	866.39563	947.3045	1070.2386
508	244	575.06378	452.61353	990.96576	1023.8101	1037.5192	695.66089	865.37549	947.3045	1070.0892
509	244	575.09644	452.60999	990.77075	1023.4901	1037.295	695.33716	864.33435	947.3045	1069.927
510	244	575.23071	452.29422	990.60822	1023.1501	1037.1046	695.07056	863.28625	947.3045	1069.7521
511	244	575.3515	452.41772	990.45868	1022.85	1036.6013	694.90869	862.23114	947.3045	1069.5471
512	244	575.3985	452.44946	990.24408	1022.58	1036.4786	694.91345	861.17609	947.3045	1069.321
513	244	575.45508	452.483	989.91895	1022.3501	1036.3644	695.06104	860.13489	947.3045	1069.0691
514	244	575.4198	452.46887	989.5744	1022.2001	1036.2375	695.0896	859.09381	947.3045	1068.8345
515	244	575.27606	452.81284	989.27527	1022.0701	1036.0853	694.74677	858.06665	947.3045	1068.5997
516	244	575.12006	452.40891	989.09967	1021.95	1035.9034	693.72803	857.06744	947.3045	1068.3735
517	244	574.87811	452.83224	989.01514	1021.8301	1035.7131	692.57111	856.07526	947.3045	1068.126
518	244	574.72137	453.06158	988.94366	1021.72	1035.5354	691.43329	855.10394	947.3045	1067.9296
519	244	574.51196	454.20993	988.78107	1021.6301	1035.1167	690.41925	854.16064	947.3045	1067.6863
520	244	574.33325	454.31049	988.48199	1021.51	1035.0575	689.59564	853.25238	947.3045	1067.5242
521	244	572.94647	454.77441	988.08539	1021.3701	1034.9983	688.98627	852.38586	947.3045	1067.4089
522	244	572.83514	454.28226	987.68225	1021.2101	1034.918	688.76251	851.57532	947.3045	1067.4175
523	244	572.86444	453.91711	987.31158	1021.0201	1034.7994	688.67676	850.8277	947.3045	1067.4089
524	244	574.09534	454.32635	987.01904	1020.81	1034.6556	688.41022	850.19183	947.3045	1067.3619
525	244	574.15094	454.00885	986.77844	1020.56	1034.5034	687.94843	849.76563	947.3045	1067.3065
526	244	573.93793	453.94708	986.58344	1020.2601	1034.3596	687.36755	850.58313	947.3045	1067.2212
527	244	573.42456	453.70895	986.37531	1019.97	1034.0212	686.75348	849.91235	947.3045	1067.1102
528	244	572.60687	452.71054	986.1283	1019.67	1033.9535	686.18213	849.24158	947.3045	1066.9694
529	244	571.80371	452.55353	985.76416	1019.3901	1033.8647	685.76318	848.57776	947.3045	1066.8328
530	244	571.87646	452.89401	985.30249	1019.15	1033.7463	685.54419	847.92096	947.3045	1066.7218
531	244	571.98297	454.15524	984.86688	1018.92	1033.594	685.40137	847.2641	947.3045	1066.6322
